Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-21.718599	138.190221
-21.693593	138.212641
-21.668588	138.234981
-21.643583	138.257242
-21.618577	138.279424
-21.593572	138.301527
-21.568566	138.323550
-21.543561	138.345495
-21.518556	138.367360
-21.493550	138.389146
-21.468545	138.410619
-21.443539	138.431568
-21.418534	138.452577
-21.393528	138.473653
-21.368523	138.494794
-21.343518	138.516001
-21.318512	138.537275
-21.293507	138.558614
-21.268501	138.580019
-21.243496	138.601491
-21.218491	138.623028
-21.193485	138.644632
-21.168480	138.666301
-21.143474	138.688037
-21.118469	138.709592
-21.093464	138.730683
-21.068458	138.751606
-21.043453	138.772394
-21.018447	138.793047
-20.993442	138.813565
-20.968437	138.833948
-20.943431	138.854197
-20.918426	138.874310
-20.893420	138.894289
-20.868415	138.914133
-20.843409	138.933842
-20.818404	138.953416
-20.793399	138.972855
-20.768393	138.991429
-20.743388	139.007468
-20.718382	139.022535
-20.693377	139.037423
-20.668372	139.052131
-20.643366	139.066660
-20.618361	139.081010
-20.593355	139.095181
-20.568350	139.109173
-20.543345	139.122985
-20.518339	139.136618
-20.493334	139.150072
-20.468328	139.163346
-20.443323	139.176441
-20.418318	139.188876
-20.393312	139.199107
-20.368307	139.207944
-20.343301	139.216731
-20.318296	139.225470
-20.293290	139.234159
-20.268285	139.242799
-20.243280	139.251390
-20.218274	139.259931
-20.193269	139.268424
-20.168263	139.276867
-20.143258	139.285261
-20.118253	139.293606
-20.093247	139.301902
-20.068242	139.310210
-20.043236	139.318963
-20.018231	139.328262
-19.993226	139.337511
-19.968220	139.346710
-19.943215	139.355859
-19.918209	139.364957
-19.893204	139.374006
-19.868199	139.383005
-19.843193	139.391953
-19.818188	139.400852
-19.793182	139.409701
-19.768177	139.418499
-19.743172	139.427248
-19.718166	139.435864
-19.693161	139.443853
-19.668155	139.451497
-19.643150	139.459097
-19.618144	139.466654
-19.593139	139.474168
-19.568134	139.481638
-19.543128	139.489065
-19.518123	139.496448
-19.493117	139.503789
-19.468112	139.511085
-19.443107	139.518339
-19.418101	139.525549
-19.393096	139.532716
-19.368090	139.539876
-19.343085	139.547993
-19.318080	139.557764
-19.293074	139.567905
-19.268069	139.578066
-19.243063	139.588247
-19.218058	139.598447
-19.193053	139.608667
-19.168047	139.618908
-19.143042	139.629168
-19.118036	139.639448
-19.093031	139.649747
-19.068025	139.660067
-19.043020	139.670406
-19.018015	139.680766
-18.993009	139.693496
-18.968004	139.708503
-18.942998	139.724747
-18.917993	139.740958
-18.892988	139.757136
-18.867982	139.773280
-18.842977	139.789392
-18.817971	139.805470
-18.792966	139.821515
-18.767961	139.837527
-18.742955	139.853506
-18.717950	139.869452
-18.692944	139.885364
-18.667939	139.901243
-18.642934	139.919125
-18.617928	139.937513
-18.592923	139.955965
-18.567917	139.974160
-18.542912	139.992101
-18.517907	140.009785
-18.492901	140.027214
-18.467896	140.044387
-18.442890	140.061304
-18.417885	140.077966
-18.392879	140.094371
-18.367874	140.110521
-18.342869	140.126415
-18.317863	140.142054
-18.292858	140.157373
-18.267852	140.172552
-18.242847	140.187614
-18.217842	140.202340
-18.192836	140.216731
-18.167831	140.230785
-18.142825	140.244504
-18.117820	140.257887
-18.092815	140.270934
