Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:12:02 PM
Exported by: paberbuj

Start: (-29.81, -28.46, -30.09)
End:   (29.53, -28.46, 29.53)

	Campo 1
-18.169670	161.382007
-18.144665	161.400906
-18.119660	161.420359
-18.094655	161.440367
-18.069650	161.464545
-18.044645	161.494767
-18.019640	161.524558
-17.994635	161.553915
-17.969630	161.582841
-17.944624	161.611334
-17.919619	161.639394
-17.894614	161.667022
-17.869609	161.694218
-17.844604	161.720981
-17.819599	161.746163
-17.794594	161.769476
-17.769589	161.791845
-17.744584	161.813270
-17.719579	161.832587
-17.694574	161.847729
-17.669569	161.861945
-17.644564	161.875236
-17.619559	161.887603
-17.594554	161.899045
-17.569549	161.909562
-17.544544	161.919154
-17.519539	161.927821
-17.494534	161.935564
-17.469529	161.941721
-17.444524	161.945816
-17.419519	161.949115
-17.394514	161.951620
-17.369509	161.952948
-17.344504	161.951336
-17.319499	161.948735
-17.294493	161.945145
-17.269488	161.940565
-17.244483	161.934996
-17.219478	161.928438
-17.194473	161.920890
-17.169468	161.912353
-17.144463	161.902827
-17.119458	161.891783
-17.094453	161.877387
-17.069448	161.862168
-17.044443	161.846125
-17.019438	161.829193
-16.994433	161.810442
-16.969428	161.791215
-16.944423	161.771513
-16.919418	161.751336
-16.894413	161.730683
-16.869408	161.709555
-16.844403	161.687951
-16.819398	161.665873
-16.794393	161.643318
-16.769388	161.620305
-16.744383	161.601668
-16.719378	161.583537
-16.694373	161.565912
-16.669368	161.548794
-16.644362	161.536470
-16.619357	161.524347
-16.594352	161.512171
-16.569347	161.499941
-16.544342	161.487658
-16.519337	161.475322
-16.494332	161.462932
-16.469327	161.450488
-16.444322	161.437992
-16.419317	161.425442
-16.394312	161.412334
-16.369307	161.398938
-16.344302	161.385343
-16.319297	161.371549
-16.294292	161.358337
-16.269287	161.345165
-16.244282	161.331896
-16.219277	161.318529
-16.194272	161.305065
-16.169267	161.291503
-16.144262	161.277843
-16.119257	161.264085
-16.094252	161.250230
-16.069247	161.236277
-16.044242	161.220641
-16.019237	161.204120
-15.994232	161.187552
-15.969226	161.170935
-15.944221	161.154832
-15.919216	161.139212
-15.894211	161.123924
-15.869206	161.108968
-15.844201	161.094345
-15.819196	161.080055
-15.794191	161.066096
-15.769186	161.052470
-15.744181	161.039177
-15.719176	161.026215
-15.694171	161.011967
-15.669166	160.996314
-15.644161	160.980977
-15.619156	160.965956
-15.594151	160.949195
-15.569146	160.931585
-15.544141	160.914342
-15.519136	160.897468
-15.494131	160.880961
-15.469126	160.864823
-15.444121	160.849052
-15.419116	160.833650
-15.394111	160.818615
-15.369106	160.803948
-15.344101	160.788699
-15.319095	160.771863
-15.294090	160.755627
-15.269085	160.739991
-15.244080	160.725010
-15.219075	160.711327
-15.194070	160.699094
-15.169065	160.688312
-15.144060	160.678980
-15.119055	160.671099
-15.094050	160.664668
-15.069045	160.659688
-15.044040	160.656159
-15.019035	160.654080
-14.994030	160.653740
-14.969025	160.656384
-14.944020	160.660017
-14.919015	160.664637
-14.894010	160.670370
-14.869005	160.677054
-14.844000	160.684430
-14.818995	160.692500
-14.793990	160.701261
-14.768985	160.710716
-14.743980	160.720863
-14.718975	160.731702
-14.693970	160.743234
-14.668964	160.755459
-14.643959	160.768376
-14.618954	160.777382
-14.593949	160.786215
-14.568944	160.795032
-14.543939	160.802824
-14.518934	160.808457
-14.493929	160.814171
-14.468924	160.819969
-14.443919	160.825848
-14.418914	160.831809
-14.393909	160.837853
-14.368904	160.843979
-14.343899	160.850188
-14.318894	160.856478
-14.293889	160.862851
-14.268884	160.860217
-14.243879	160.854712
-14.218874	160.848660
-14.193869	160.839778
-14.168864	160.821833
-14.143859	160.803707
-14.118854	160.785400
-14.093849	160.766912
-14.068844	160.748243
-14.043839	160.729393
-14.018833	160.710363
-13.993828	160.691151
-13.968823	160.671759
-13.943818	160.652185
-13.918813	160.628925
-13.893808	160.603375
-13.868803	160.577712
-13.843798	160.551102
-13.818793	160.517271
-13.793788	160.483773
-13.768783	160.450608
-13.743778	160.417774
-13.718773	160.385274
-13.693768	160.353105
-13.668763	160.321269
-13.643758	160.289765
-13.618753	160.258593
-13.593748	160.227754
-13.568743	160.196491
-13.543738	160.164668
-13.518733	160.133249
-13.493728	160.102232
-13.468723	160.071860
-13.443718	160.042822
-13.418713	160.015117
-13.393708	159.988747
-13.368702	159.963710
-13.343697	159.940008
-13.318692	159.917640
-13.293687	159.896606
-13.268682	159.876906
-13.243677	159.858540
-13.218672	159.842355
-13.193667	159.829633
-13.168662	159.818032
-13.143657	159.807550
-13.118652	159.799982
-13.093647	159.793413
-13.068642	159.787602
-13.043637	159.782549
-13.018632	159.778254
-12.993627	159.774717
-12.968622	159.771938
-12.943617	159.769917
-12.918612	159.768654
-12.893607	159.768149
-12.868602	159.768353
-12.843597	159.768718
-12.818592	159.769579
-12.793587	159.770936
-12.768582	159.771881
-12.743577	159.773027
-12.718571	159.774619
-12.693566	159.776656
-12.668561	159.779139
-12.643556	159.782067
-12.618551	159.785441
-12.593546	159.789260
-12.568541	159.793525
-12.543536	159.798235
-12.518531	159.803391
-12.493526	159.804160
-12.468521	159.804766
-12.443516	159.805587
-12.418511	159.805432
-12.393506	159.805080
-12.368501	159.805123
-12.343496	159.805563
-12.318491	159.806398
