Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: PDD_Eq4
Course: C1
Date: Thursday, July 21, 2016 5:41:05 PM
Exported by: laldrovandi

Start: (0.01, 0.03, 0.00)
End:   (0.00, 33.86, 0.00)

	4x4	10x10	20x20	40x40	4x4w15	10x10w15	40x30w15	4x4w30	10x10w30	40x30w30	4x4w45	10x10w45	40x20w45	4x4w60	10x10w60	40x15w60	Total
3.075758	93.710854	94.499672	94.708179	94.827832	94.244642	94.962224	94.898565	94.500607	94.996940	94.688093	93.826794	94.604684	94.891461	93.942059	94.461239	94.336964	1512.100811
3.100764	93.583193	94.390665	94.612201	94.744822	94.120776	94.856699	94.815098	94.379592	94.892008	94.601669	93.705973	94.502376	94.806293	93.822670	94.360408	94.250109	1510.444553
3.125770	93.452959	94.280420	94.515273	94.660503	93.994433	94.749547	94.727414	94.256389	94.786037	94.511786	93.582755	94.397856	94.717169	93.701311	94.258515	94.160348	1508.752716
3.150776	93.322722	94.170173	94.418344	94.576182	93.868087	94.642391	94.639725	94.133183	94.680064	94.421897	93.459533	94.293333	94.628039	93.579949	94.156620	94.070583	1507.060826
3.175782	93.192485	94.059925	94.321414	94.491862	93.741741	94.535236	94.552035	94.009978	94.574092	94.332009	93.336311	94.188809	94.538908	93.458587	94.054725	93.980817	1505.368934
3.200789	93.062248	93.949678	94.224485	94.407541	93.615394	94.428081	94.464346	93.886772	94.468119	94.242120	93.213089	94.084286	94.449778	93.337225	93.952829	93.891052	1503.677041
3.225795	92.932010	93.839431	94.127555	94.323220	93.489048	94.320926	94.376656	93.763566	94.362146	94.152232	93.089866	93.979762	94.360647	93.215862	93.850933	93.801286	1501.985146
3.250801	92.801773	93.729184	94.030626	94.238899	93.362701	94.213770	94.288966	93.640359	94.256173	94.062343	92.966644	93.875238	94.271516	93.094499	93.749037	93.711520	1500.293249
3.275807	92.671536	93.618936	93.933696	94.154579	93.236355	94.106615	94.201276	93.517153	94.150200	93.972454	92.843421	93.770714	94.182385	92.973136	93.647141	93.621754	1498.601351
3.300813	92.541298	93.508689	93.836767	94.070258	93.110008	93.999459	94.113586	93.393947	94.044227	93.882566	92.720198	93.666190	94.093254	92.851772	93.545244	93.531987	1496.909451
3.325819	92.411061	93.398442	93.739837	93.985937	92.983661	93.892304	94.025896	93.270740	93.938253	93.792677	92.596975	93.561666	94.004123	92.730408	93.443348	93.442221	1495.217550
3.350826	92.280824	93.288196	93.642909	93.901618	92.857315	93.785150	93.938210	93.147534	93.832282	93.702793	92.473754	93.457144	93.914995	92.609046	93.341453	93.352457	1493.525678
3.375832	92.151161	93.179328	93.547245	93.818607	92.731593	93.679449	93.854181	93.024633	93.728029	93.617295	92.351976	93.355200	93.828891	92.489170	93.241726	93.266134	1491.864618
3.400838	92.021499	93.070461	93.451581	93.735597	92.605871	93.573747	93.770152	92.901732	93.623776	93.531797	92.230198	93.253255	93.742786	92.369294	93.141999	93.179811	1490.203556
3.425844	91.891836	92.961594	93.355918	93.652586	92.480149	93.468046	93.686123	92.778831	93.519522	93.446299	92.108420	93.151310	93.656681	92.249418	93.042272	93.093488	1488.542493
3.450850	91.762174	92.852727	93.260254	93.569576	92.354426	93.362345	93.602093	92.655929	93.415269	93.360801	91.986641	93.049365	93.570577	92.129542	92.942544	93.007164	1486.881428
3.475856	91.632511	92.743859	93.164590	93.486565	92.228704	93.256644	93.518064	92.533028	93.311016	93.275303	91.864863	92.947419	93.484472	92.009665	92.842817	92.920840	1485.220362
3.500863	91.502849	92.634992	93.068927	93.403555	92.102982	93.150942	93.434035	92.410126	93.206762	93.189805	91.743084	92.845474	93.398367	91.889788	92.743089	92.834517	1483.559295
3.525869	91.373187	92.526125	92.973263	93.320544	91.977259	93.045241	93.350006	92.287224	93.102509	93.104307	91.621305	92.743529	93.312262	91.769911	92.643360	92.748192	1481.898226
