Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:33:23 PM
Exported by: laldrovandi

Start: (-25.01, 10.00, 0.00)
End:   (25.00, 10.00, 0.00)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
1.475284	0.000000	10.072249	0.000000	5.236094	0.000000	6.749813	0.000000	2.382409	0.000000	0.000000	24.440565
1.500289	0.000000	10.130771	0.000000	5.252560	0.000000	6.769475	0.000000	2.388323	0.000000	0.000000	24.541128
1.525294	0.000000	10.189293	0.000000	5.269026	0.000000	6.789136	0.000000	2.394236	0.000000	0.000000	24.641691
1.550299	0.000000	10.247815	0.000000	5.285492	0.000000	6.808798	0.000000	2.400149	0.000000	0.000000	24.742254
1.575304	0.000000	10.306336	0.000000	5.301959	0.000000	6.828460	0.000000	2.406063	0.000000	0.000000	24.842818
1.600309	0.000000	10.364858	0.000000	5.318425	0.000000	6.848122	0.000000	2.411976	0.000000	0.000000	24.943381
1.625313	0.000000	10.423380	0.000000	5.334891	0.000000	6.867783	0.000000	2.417889	0.000000	0.000000	25.043944
1.650318	0.000000	10.490749	0.000000	5.352004	0.000000	6.888248	0.000000	2.424003	0.000000	0.000000	25.155005
1.675323	0.000000	10.560236	0.000000	5.369272	0.000000	6.908906	0.000000	2.430164	0.000000	0.000000	25.268577
1.700328	0.000000	10.629723	0.000000	5.386539	0.000000	6.929563	0.000000	2.436325	0.000000	0.000000	25.382150
1.725333	0.000000	10.699209	0.000000	5.403807	0.000000	6.950220	0.000000	2.442486	0.000000	0.000000	25.495723
1.750338	0.000000	10.768696	0.000000	5.421075	0.000000	6.970877	0.000000	2.448647	0.000000	0.000000	25.609296
1.775342	0.000000	10.838183	0.000000	5.438343	0.000000	6.991535	0.000000	2.454808	0.000000	0.000000	25.722868
1.800347	0.000000	10.907669	0.000000	5.455610	0.000000	7.012192	0.000000	2.460970	0.000000	0.000000	25.836441
1.825352	0.000000	10.977156	0.000000	5.472878	0.000000	7.032849	0.000000	2.467131	0.000000	0.000000	25.950014
1.850357	0.000000	11.046642	0.000000	5.490146	0.000000	7.053506	0.000000	2.473292	0.000000	0.000000	26.063587
1.875362	0.000000	11.116129	0.000000	5.507413	0.000000	7.074164	0.000000	2.479453	0.000000	0.000000	26.177159
1.900366	0.000000	11.201723	0.000000	5.525487	0.000000	7.095257	0.000000	2.485815	0.000000	0.000000	26.308282
1.925371	0.000000	11.291124	0.000000	5.543752	0.000000	7.116453	0.000000	2.492224	0.000000	0.000000	26.443553
1.950376	0.000000	11.380525	0.000000	5.562017	0.000000	7.137649	0.000000	2.498633	0.000000	0.000000	26.578824
1.975381	0.000000	11.469926	0.000000	5.580282	0.000000	7.158845	0.000000	2.505042	0.000000	0.000000	26.714095
